koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
숭실대,아시아,대만,,National Central University(國立中央大學),국립중앙대,-,-,3.5,"B-3, A-4"
숭실대,아시아,대만,,Soochow University(東吳大學),동오대학,-,-,3.5,"B-3, A-4"
숭실대,아시아,대만,,National Chung Cheng University(國立中正大學),중정대,-,-,3,"B-3, A-4"
숭실대,아시아,대만,,Tunghai University(東海大學),텅하이대,-,-,3,"B-3, A-4"
숭실대,아시아,대만,,Providence University(靜宜大學),프로비던스대,-,-,3.5,"B-3, A-4"
숭실대,아시아,대만,,Fu Jen Catholic University(輔仁大學),푸젠카톨릭대,-,-,3,"B-3, A-2"
숭실대,아시아,대만,,Aletheia University(真理大學),진리대학,-,-,3,"B-3, A-4"
숭실대,아시아,대만,,Chang Jung Christian University(長榮大學),장정기독교대,-,-,3,
숭실대,아시아,대만,,National University of Kaohsiung,가오슝 국립대,-,-,3,B-2
숭실대,아시아,말레이시아,,University of Malaya,말라야대,-,-,3,A-2
숭실대,아시아,말레이시아,,Multimedia University,멀티미디어대,-,-,3.5,A-3
숭실대,아시아,말레이시아,,Universitiy Tenaga Nasional,뜨나가국립대,-,-,3.5,A-3
숭실대,아시아,말레이시아,,Taylor's University,테일러스대,-,-,3.5,A-1
숭실대,아시아,말레이시아,,Universiti Kuala Lumpur,UniKL,-,-,3,A-3
숭실대,아시아,말레이시아,,Universiti Tunku Abdul Rahman Kampar Malaysia,UTAR,-,-,3,A-1
숭실대,아시아,베트남,,Hanoi University of Science and Technology,하노이과학기술대,-,-,3.5,베트남어 가능자
숭실대,아시아,베트남,,National University of Hochi minh city,호치민시국립대학교,-,-,3,
숭실대,아시아,베트남,,Ton Duc Thang University,똔득탕대,-,-,3,A-4
숭실대,아시아,몽골,,Mongolia International University,몽골국제대,-,-,3,"TOEIC 700
TOEIC IBT 70"
숭실대,아시아,몽골,,Ikh Zasag International University,이흐자사크국제대,-,-,3,
숭실대,아시아,몽골,,University of Finance and Economics,금융경제대,-,-,3,
숭실대,아시아,우즈베키스탄,,Tashkent University of Information Technologies,타쉬켄트IT대,-,-,3.5,A-3
숭실대,아시아,인도,,Christ University,크라이스트대,-,-,3.5,A-3
숭실대,아시아,인도,,Vignan's University,비그넌대,-,-,3.5,
숭실대,아시아,인도,,MIT Art Design and Technology University,MIT-ADT,-,-,3,A-4
숭실대,아시아,인도,,Sathyabama University,사티아바마대,-,-,3,A-4
숭실대,아시아,인도네시아,,Petra Christian University,페트라크리스천대,-,-,3.5,A-3
숭실대,아시아,인도네시아,,Pelita Harapan University,펠리타하라판대,-,-,3,A-3
숭실대,아시아,인도네시아,,Binus University,비너스대,-,-,3,A-3
숭실대,아시아,인도네시아,,University of Indonesia,인도네시아 국립대,-,-,3,A-3
숭실대,아시아,인도네시아,,"Atma Jaya University, Yogyakarta",아트마 자야대,-,-,3,A-3
숭실대,아시아,일본,,Meiji Gakuin University(明治学院大学),명치학원대,-,-,3,C-2
숭실대,아시아,일본,,Sapporo Gakuin University(札幌学院大学),삿포로학원대,-,-,3.5,C-2
숭실대,아시아,일본,,J. F. Oberlin University(桜美林大学),오비린대,-,-,3.5,C-2
숭실대,아시아,일본,,"Osaka University of Economics and Law
(大阪経済法科大学)",오사카경법대,-,-,3.5,C-2
숭실대,아시아,일본,,Momoyama Gakuin University(桃山学院大学),모모야마학원대,-,-,3,C-2
숭실대,아시아,일본,,Shinshu University,신슈대,-,-,3,C-2
숭실대,아시아,일본,,Teikyo University,데이쿄대,-,-,3.5,C-2
숭실대,아시아,일본,,Otsuma Women's University ,오츠마여대,-,-,3,C-2
숭실대,아시아,일본,,Nagoya University of Foreign Studies,나고야외국어대,-,-,3,A-2 or C-2
숭실대,아시아,일본,,Kanda University of International Studies,칸다외국어대학,-,-,3,C-2
숭실대,아시아,일본,,Setsunan University,세스난대학,-,-,3,C-2
숭실대,아시아,일본,,Nagoya Gakuin University,나고야가쿠인대,-,-,3,A-5 or C-2
숭실대,아시아,중국,,Jilin Normal University(吉林师范大学),길림사범대,-,-,3.5,B-3
숭실대,아시아,중국,,Nanjing University(南京大学),난징대,-,-,3.5,"B-1, A-1"
숭실대,아시아,중국,,Dalian Minzu University(大连民族学院),대련민족대,-,-,3.5,B-3
숭실대,아시아,중국,,"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",동북사범대-인문대학,-,-,3,B-3
숭실대,아시아,중국,,Donghua University (东华大学),동화대,-,-,3,"B-2, A-2"
숭실대,아시아,중국,,"Beijing University of Posts and Telecommunications
(北京邮电大学)",북경우전대학,-,-,3.5,B-3
숭실대,아시아,중국,,"Shandong University, Weihai(山东大学, 威海)",산동대-위해,-,-,3,B-3
숭실대,아시아,중국,,Shandong Normal University(山东师范大学),산동사범대,-,-,3,B-3
숭실대,아시아,중국,,China Three Gorges University(三峡大学),삼협대,-,-,3,"B-2, A-2"
숭실대,아시아,중국,,Northwestern Polytechnical University(西北工业大学),서북공업대학,-,-,3,"A-4, B-3"
숭실대,아시아,중국,,Shenyang Aerospace University(沈阳航空航天大学),심양항공대,-,-,3,B-3
숭실대,아시아,중국,,Shenzhen University(深圳大学),심천대,-,-,3.5,B-3
숭실대,아시아,중국,,Yangtze University(长江大学),장강대,-,-,3.5,B-3
숭실대,아시아,중국,,Jinan University(暨南大学),지난대,-,-,3.5,"A-3, B-3"
숭실대,아시아,중국,,Changshu Institute Of Technology(常熟理工学院),상숙이공대,-,-,3,B-3
숭실대,아시아,중국,,Yantai University(烟台大学),연태대,-,-,3,B-3
숭실대,아시아,중국,,Zhengzhou University of Light Industry (郑州轻工业学院),정주경공업대,-,-,3.5,"A-5, B-3"
숭실대,아시아,중국,,Xi'an International Studies University (西安外国语大学),서안외국어대 ,-,-,3,"A-5, B-3"
숭실대,아시아,중국,,Qingdao Agricultural University (青岛农业大学),청도농업대,-,-,3,"A-5, B-3"
숭실대,아시아,중국,,Henan University,하남대,-,-,3,B-3
숭실대,아시아,방글라데시,,Daffodil International University,다포딜국제대학,-,-,3,A-3
숭실대,아시아,라오스,,Logos College,로고스대,-,-,3,A-4
숭실대,아시아,카자흐스탄,,Kazakh-British Technical University,카작브리티시대,-,-,3.5,A-3
숭실대,아시아,태국,,Payap University ,파얍대,-,-,3.5,A-2
숭실대,아시아,태국,,Sirindhorn International Institute of Technology,SIIT,-,-,3.5,A-4
숭실대,아시아,홍콩,,Lingnan University(嶺南大學),링난대,-,-,3,A-1
숭실대,아시아,홍콩,,The Education University of Hong Kong(香港教育學院),홍콩교육대,-,-,3,A-2
숭실대,아시아,홍콩,,The Hong Kong Polytechnic University(香港理工大学),홍콩이공대,-,-,3.5,A-2
숭실대,아시아,홍콩,,Hong Kong Baptist University ,홍콩침례대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,홍콩,,"Chinese University of Hong Kong, Chung Chi College",홍콩중문대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,홍콩,,Lingnan University(嶺南大學),링난대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도,,Christ University,크라이스트대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도,,Lady Doack College,레이디독대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Atma Jaya Catholic University Indonesia ,아트마자야카톨릭대 (인도네시아) ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Atma Jaya Catholic University Yogyakarta,아트마자야카톨릭대 (Yogyakarta) ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Maranatha Christian University ,마라나타 크리스쳔대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Sanata Dharma University ,USD,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Soegijapranata Catholic University ,서기자프라나타카톨릭대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Parahyangan Catholic University,UNPAR,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Petra Christian University,페트라크리스천대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Satya Wacana Christian University ,사트야와카나크리스쳔대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Duta Wacana Christian University ,두타와카나크리스쳔대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Pelita Harapan University,펠리타하라판대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Krida Wacana Christian University ,크리다와카나크리스쳔대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,인도네시아,,Dhyana Pura University ,댜나푸라대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,미얀마 ,,Myanmar Institute of Theology ,미얀마신학대 ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,International Christian University,국제기독교대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Kwansei Gakuin University,간세이가쿠인대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Aoyama Gakuin University,아오야마가쿠인대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Meiji Gakuin University(明治学院大学),명치학원대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Momoyama Gakuin University ,모모야마가쿠인대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Doshisha University ,도시샤대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,JF Oberlin University ,JF 오베린대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Osaka Jogakuin ,오사카조가쿠인,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Hiroshima Jogakuin University ,히로시마조카쿠인대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Kobe College,코베대 ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Seinan Gakuin University,세이난가쿠인대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Sophia University,조치대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,일본,,Nanzan University,난잔대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Ateneo De Manila University,애트니오데마닐라대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Central Phillippine University,일로일로대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,De La Salle University ,라샬대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Filamer Christian University ,필래머 크리스쳔대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Silliman University,실리만대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Trinity University of Asia ,트리니티대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Miriam College,미리엄대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Philippine Christian University ,필리핀크리스쳔대 ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,De La Salle University - Dasmarinas,드라살대-다스마리나스 ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Assumption College,어썸션대 ,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,La Consolacion University ,라콘솔라시온대 ,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,Phillippine Women's University,필리핀여대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,필리핀,,St. Paul University Phillippines,세인트폴대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Chung Yuan Christian University,중원대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,WenZao Ursuline College of Languages,원자오외국어대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,St. John's University,세인트존스대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Chang Jung Christian University(長榮大學),장정기독교대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Chung Yuan Christian University,중원대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Fu Jen Catholic University(輔仁大學),푸젠카톨릭대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Soochow University(東吳大學),동오대학,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Providence University(靜宜大學),프로비던스대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Tunghai University(東海大學),텅하이대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Aletheia University(真理大學),진리대학,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,대만,,Payap University ,파얍대,-,-,3.5,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,태국,,Assumption University,어섬션대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,태국,,Asia-Pacific International,아시아퍼시픽국제외국인학교,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,아시아,태국,,Christian University of Thailand,크리스찬대,-,-,3,ACUCA 홈페이지에서 사전 확인
숭실대,북미,미국,,Angelo State University,엔젤로주립대,-,-,3,"TOEFL IBT 79
ITP 550
TOEIC 800
IELTS 6.5"
숭실대,북미,미국,,Northwest University,노쓰웨스트대,-,-,3,TOEFL IBT 80
숭실대,북미,미국,,Black Hills State University,블랙힐스주립대,-,-,3.5,"TOEFL IBT 61
TOEFL ITP 500
IELTS 5.5
TOEIC 600"
숭실대,북미,미국,,University of Mississippi,미시시피대,-,-,3.5,"TOEFL IBT 79
TOEFL ITP 550
IELTS 6.0"
숭실대,북미,미국,,SUNY Stony Brook,스토니브룩대,-,-,3.5,"TOEFL IBT 80
IELTS 6.5"
숭실대,북미,미국,,Emporia State University,엠포리아주립대,-,-,3,"TOEFL IBT 72
TOEFL ITP 530
IELTS 6.0"
숭실대,북미,미국,,Oklahoma State University,오클라호마주립대,-,-,3,"TOEFL IBT 61
IELTS 5.5"
숭실대,북미,미국,,Otterbein University,오터바인대,-,-,3.5,"TOEFL IBT 79
TOEFL ITP 550
IELTS 6.5"
숭실대,북미,미국,,Illinois Institute of Technology,일리노이공대,-,-,3,"TOEFL IBT 80
IELTS 6.5"
숭실대,북미,미국,,University of California at Riverside,"캘리포니아대, 리버사이드",-,-,3,"TOEFL IBT 80
IELTS 7.0"
숭실대,북미,미국,,"California State University, Monterey Bay","캘리포니아주립대, 몬테레이베이",-,-,3,"TOEFL IBT 61
 IELTS 6.0"
숭실대,북미,미국,,"California State University, Bakersfield","캘리포니아주립대, 베이커스필드",-,-,3,"TOEFL IBT 61
 IELTS 6.0"
숭실대,북미,미국,,University of Nebraska at Kearney,"네브래스카대, 커니",-,-,3,"TOEFL IBT 61
 IELTS 5.5"
숭실대,북미,미국,,Temple University,템플대,-,-,3.5,"TOEFL IBT 79
IELTS 6.0"
숭실대,북미,미국,,"Boston University, MET",보스턴대,-,-,3.5,"TOEFL IBT 85
IETLS 7.0"
숭실대,북미,미국,,San Francisco State University,샌프란시스코주립대,-,-,3.5,"iBT 75, IELTS 6.0"
숭실대,북미,캐나다,,Vancouver Island University,밴쿠버아일랜드대,-,-,3,"TOEFL IBT 80
(각 영역별 19이상)"
숭실대,유럽,영국,,University of Leicester,레스터대,-,-,3,IELTS 6.5
숭실대,유럽,영국,,University of Manchester,맨체스터대,-,-,3.5,"지원학과별 
어학점수 상이
(링크 통해 확인)"
숭실대,유럽,영국,,Heriot-Watt University,헤리엇와트대,-,-,3,IELTS 6.5
숭실대,오세아니아,호주,,Bond University,본드대,-,-,3,"지원학과별 
TOEFL점수 상이
(링크 통해 확인)"
숭실대,오세아니아,호주,,The University of Adelaide,애들레이드대,-,-,3,"TOEFL IBT 79 
IELTS 6.5"
숭실대,아시아,일본,,Shinshu University,신슈대,-,-,3,없음
숭실대,아시아,인도,,University of Hyderabad,하이더라바드대,-,-,3,"TOEFL IBT 75
IELTS 5.0
TOEIC 850"
숭실대,북미,미국,,American University ,아메리칸대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,Arizona State University ,애리조나주립대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"California State University, Long Beach","캘리포니아주립대, 롱비치",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"California State University, San Marcos ","캘리포니아주립대, 산마르코스",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"Columbia University, Columbia College",콜롬비아대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,Johns Hopkins University ,존스홉킨스대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,Michigan State University ,미시건주립대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Arkansas ,아칸소대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of Colorado, Boulder ","콜로라도대, 보더",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of Hawaii, Hilo ","하와이대, 힐로",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Mississippi,미시시피대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Montana ,몬타나대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of Nevada, Reno ","네바다대, 르노",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Oregon ,오레곤대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Pennsylvania ,펜실베니아대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of Wisconsin, Madison ","위스콘신대, 매디슨",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University College London,런던대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Bristol,브리스톨대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Edinburgh,에딘버러대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Glasgow,글라스고우대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Manchester,맨체스터대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of the Arts London,런던예술대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Westminster,웨스트민스터대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,아일랜드,,University College Dublin ,더블린대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,아일랜드 ,,University of Limerick,리머릭대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,오세아니아,호주,,University of New South Wales,뉴사우스웨일스대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,오세아니아,호주,,University of Queensland,퀸즐랜드대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,오세아니아,뉴질랜드,,University of Otago,오타고대,-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,캐나다,,University of Toronto,토론토대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,캐나다,,Univeristy of Victoria,빅토리아대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,독일,,University of Leipzig,라이프치히대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of California, Berkeley  ","캘리포니아대, 버클리",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of California, Davis","캘리포니아대, 데이비스",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of California, Los Angeles  ","캘리포니아대, LA",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of California, San Diego  ","캘리포니아대, 샌디에고",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of California, Santa Barbara  ","캘리포니아대, 산타바바라",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,San Jose State University ,산호세주립대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,University of Minnesota  ,미네소타대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"American University, Washington Semester Program ","아메리칸대, 워싱턴시메스터프로그램",-,-,3.5,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,"University of Oregon, Education Internship ","오레곤대, 에듀케이션 인턴십 ",-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,유럽,영국,,University of Westminster,웨스트민스터대,-,-,3,참조 : http://korea.studyabroadfoundation.org/apply_now/saf_application_form_instructions.php
숭실대,북미,미국,,Angelo State University,엔젤로주립대,-,-,3,"TOEFL IBT 60
TOEFL ITP 500
TOEIC 700
IELTS 5.5"
숭실대,북미,미국,,Angelo State University,엔젤로주립대,-,-,3,"TOEFL IBT 50
ITP 450
TOEIC 600
IELTS 4.5"
숭실대,북미,미국,,Illinois Institute of Technology,일리노이공대,-,-,3,TOEIC 700
숭실대,아시아,중국,,Donghua University (东华大学),동화대,-,-,3.5,"TOEIC 800
新HSK 3급"
숭실대,북미,미국,,"University of Nevada, Las Vegas","네바다대, 라스베이거스",-,-,3.5,"TOEFL IBT 61
 IELTS 6.0 
(모든분야 5.5이상)
TOEIC 650"
숭실대,북미,미국,,San Francisco State University,샌프란시스코주립대,-,-,3.5,"iBT 75, IELTS 6.0"
인하대,북미,미국,,"University of Nevada, Las Vegas",네바다주립대학 라스베이거스(B형),6,무관,3,60
인하대,북미,미국,,"University of Nevada, Las Vegas","네바다주립대학 라스베이거스
교환연구인턴 (A형)",1,1개학기,3,70
인하대,북미,미국,,"University of Nevada, Las Vegas","네바다주립대학 라스베이거스
교환연구인턴 (B형)",3,1개학기,3.5,60
인하대,북미,미국,,University of Nebraska at Kearny,네브라스카 주립대학(B형),3,무관,3,70
인하대,북미,미국,,Arkansas State University,아칸소주립대학(A형),1,무관,3,75
인하대,북미,미국,,Arkansas State University,아칸소주립대학(B형),3,무관,3,80
인하대,남미,브라질,,Pontificia Universidade Catolica de Minas Gerais,카톨릭 대학 미나스제라이스,5,1개학기,3,70
인하대,남미,브라질,,UNIVERSITY OF FORTALEZA,포르탈레자 대학,5,1개학기,3,60
인하대,북미,캐나다,,Cape Breton University,케이프브레턴대학,5,1개학기,3.5,65
인하대,아시아,브루나이,,Universiti Brunei Darussalam,브루나이 국립대학,2,무관,3.5,70
인하대,아시아,싱가폴,,Singapore Management University,싱가폴경영대학,2,무관,3.5,55
인하대,아시아,홍콩,,Shue Yan University,수인대학교,1,무관,3,60
인하대,아시아,홍콩,,Hang Seng Management College,항생경영대학,6,무관,3,70
인하대,유럽,네덜란드,,Saxion University of Applied Sciences,삭시온대학교,3,1개학기,3.5,75
인하대,유럽,독일,,"RWU Ravensburg-Weingarten
 University of Applied Sciences ",라벤스부르크 바인가르텐 응용과학대,3,무관,3,80
인하대,유럽,독일,,University of Oldenburg,올덴부르크 대학,4,무관,3,75
인하대,유럽,리투아니아,,Vilnius Gediminas Technical University,빌니우스 게디미나스대학 공과대,1,무관,3,70
인하대,유럽,스웨덴,,University of Gothenburg,예테보리 대학교,4,1개학기,3,70
인하대,유럽,스위스,,Zurich University of Applied Sciences,취리히 응용과학대,1,무관,3,70
인하대,유럽,스페인,,Universidad Carlos III de Madrid,마드리드카를로스3세 대학교,3,무관,3.5,60
인하대,유럽,오스트리아,,Graz University of Technology,그라츠공과대학,7,무관,3.5,65
인하대,유럽,오스트리아,,Catholic Private University Linz,린츠 카톨릭 대학,5,1개학기,3.5,60
인하대,유럽,오스트리아,,University of Applied Sciences Technikum Wien,빈 공과대학교,2,무관,3,65
인하대,유럽,포르투갈,,"Faculdade de Arquitetura
Universidade de Lisboa",리스본대학 건축학과,2,1개학기,3,65
인하대,유럽,포르투갈,,ISEG - Lisbon School of Economics & Management,리스본대학 경영학과,3,1개학기,3.5,55
인하대,유럽,폴란드,,Warsaw University of Technology,바르샤바 공과대학,3,1개학기,3,70
인하대,유럽,프랑스,,Ecole Superieure des Sciences Commerciales d'Anger,ESSCA경영대학,3,무관,3,75
인하대,유럽,헝가리,,Budapest University of Technology and Economics,부다페스트 기술경제 대학,2,무관,3,70
인하대,아시아,대만,,Kainan University,개남대학,5,무관,3,70
인하대,아시아,대만,,National Sun Yat-sen University,국립중산대학,2,1개학기,3,70
인하대,아시아,대만,,National Central University,국립중앙대학,1,무관,3.5,75
인하대,아시아,대만,,National Chung Cheng University,국립중정대학,3,무관,3.5,70
인하대,아시아,대만,,Soochow University,쑤초우대학,5,1개학기,3.5,70
인하대,아시아,중국,,Jiangnan University,강남대학,6,무관,3,65
인하대,아시아,중국,,Guangdong University of Foreign Studies,광동외어외무대학,2,1개학기,3,65
인하대,아시아,중국,,Jilin University,길림대학,4,1개학기,3.5,60
인하대,아시아,중국,,Nanjing Normal University,남경사범대학,3,무관,3,60
인하대,아시아,중국,,Dalian University of Technology,대련이공대학,3,무관,3,70
인하대,아시아,중국,,Donghua University,동화대학,1,1개학기,3,60
인하대,아시아,중국,,Beijing Language and Culture University,북경어언대학,3,1개학기,3,70
인하대,아시아,중국,,Shandong University,산동대학,2,1개학기,3,75
인하대,아시아,중국,,"Shandong University, Weihai",산동대학(위해),3,무관,3.5,80
인하대,아시아,중국,,Yantai University,연태대학,2,무관,3.5,70
인하대,아시아,중국,,Chang'an University,장안대학,5,1개학기,3.5,60
