koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
경희대,아시아,대만,,National Taiwan Normal University,,4,9월 ~ 1월,3.5,"HSK 4급 이상
► Department of History : TOCFL Level 4 or New HSK 6

► Department of Chinese as a Second Language: 
  - Undergraduate: Certificate of taken 180-hours of Chinese courses

► Department of East Asian Studies:
  * Non-Chinese-speaking Students
  - Undergraduate: TOCFL Level 3 or HSK Level 5

  * Chinese-speaking Students
  (1) TOFLE iBT 71 or
  (2) IELT 5.5 or
  (3) TOEIC 750 or
  (4) College English Test (全國大學英語考試) : CET 4 or
  (5) Public English Test System (全國英語等級考試) : PETS 3"
경희대,아시아,대만,,National Taiwan University,,2,9월 ~ 1월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,아시아,대만,,National Tsing Hua University,,4,9월 ~ 1월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,아시아,중국,,Northeastern University,,3,9월 ~ 1월,3,HSK 5급 이상
경희대,아시아,중국,,"Northwestern Polytechnical 
University",,1,8월 ~ 1월,3.5,"IBT 80, IELTS 6.5 "
경희대,아시아,중국,,Northwestern Polytechnical University,,2,9월 ~ 1월,3,HSK 4급 이상
경희대,유럽,핀란드,,Oulu University of Applied Sciences,,2,8월 ~ 1월,3,"IBT 79 ITP 550, IELTS 6.0"
경희대,유럽,프랑스,,Rennes School of Business,,2,9월 ~ 12월,3,"IBT 79, ITP 550, IELTS 6.0"
경희대,아시아,일본,,Ritsumeikan Asia Pacific University,,1,9월 ~ 2월,3,"IBT 79, IELTS 6.0"
경희대,아시아,일본,,Ritsumeikan University,,2,9월 ~ 1월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,네덜란드,,Saxion University of Applied Sciences,,2,9월 ~ 12월,3,"IBT 80, ITP 550, IELTS 6.0
*지원 과정 별 requirement 확인"
경희대,유럽,스웨덴,,"School of Education and Communication, Jonkoping Univ  ",,5,8월 ~ 1월,3.5,"IBT 90 (writing 20), ITP 590,
IELTS 6.5 각 부분 5.5이상
*파트별 성적 확인"
경희대,유럽,영국,,SOAS University of London,,3,9월 ~ 12월,3,"IBT 100, IELTS 6.5 (6.5 writing and 6.0 in remaing sub categories)
*언어수업 수강이 필요할 수 있음

IBT 105, IELTS 7.0 (overall w/ 6.5 in sub categories)
*언어수강 없이 direct

https://www.soas.ac.uk/studyabroad/requirements/"
경희대,유럽,벨기에,,Solvay Brussels School of Economics and Management,,2,9월 ~ 1월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,아시아,대만,,Tamkang University,,2,9월 ~ 1월,3,HSK 3급 이상
경희대,남미,멕시코,,Tecnológico de Monterrey,,1,9월 ~ 12월,3,"IBT 80, ITP 550, IELTS 6.5"
경희대,아시아,태국,,Thammasat University,,2,8월 ~ 12월,3,"IBT 72~80 (MyBest scores are not accepted), IELTS 6.0~6.5
*과마다 다르므로 아래 링크에서 개별 확인 필요
http://oia.tu.ac.th/index.php?option=com_content&view=article&id=371&Itemid=381"
경희대,아시아,홍콩,,The Hong Kong Polytechnic University,,2,9월 ~ 12월,3.5,"IBT 80, IELTS 6.0"
경희대,아시아,일본,,Tokyo University of Foreign Studies,,2,10월 ~ 1월,3.5,"JLPT Level N2 
(Level N1 preferred) "
경희대,유럽,러시아,,Tomsk Polytechnic University,,4,1학기~1년,3.5,4
경희대,아시아,말레이시아,,UCSI University,,5,9월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0
* 학점 3.01/4.3 이상"
경희대,남미,멕시코,,Universidad Autonoma de Baja California,,3,1학기,3.5,2
경희대,유럽,스페인,,Universidad Camilo Jose Cela,,2,1학기,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,스페인,,Universidad de Castilla-La Mancha,,2,1학기,3.5,1
경희대,남미,코스타리카,,Universidad de Costa Rica,,2,1학기,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,스페인,,Universidad de Las Palmas de Gran Canaria,,3,1학기,3.5,2
경희대,유럽,스페인,,"Universidad de Santiago 
de Compostela",,2,1학기,3.5,"IBT 70, ITP 550, IELTS 5.5"
경희대,유럽,스페인,,Universidad de Vigo,,1,1학기,3,"IBT 80, ITP 550, IELTS 6.5"
경희대,남미,콜롬비아,,Universidad EAFIT,,2,7월 ~ 11월,3,1
경희대,남미,콜롬비아,,Universidad EAFIT ,,1,1학기,3,"IBT 80, IELTS 6.5 
(도착 후 어학테스트있음)
프랑스어권: https://international.umontreal.ca/fileadmin/international/documents/Mobilite/Programs_with_particularities2021.pdf"
경희대,남미,멕시코,,Universidad Internacional,,2,8월 ~ 12월,3,"IBT 79, ITP 550, IELTS 6.0"
경희대,남미,우루과이,,Universidad ORT Urguay,,2,1학기,3,3
경희대,아시아,인도네시아,,Universitas Gadjah Mada,,2,8월 ~ 12월,3,"IBT 72, IELTS 6.0"
경희대,아시아,인도네시아,,Universitas Indonesia,,4,8월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0
Upper B2 minimum (C1 preferred)"
경희대,유럽,프랑스,,Universite de Limoges,,1,1학기~1년,3,2
경희대,북미,캐나다,,Universite de Montreal,,2,9월 ~ 12월,3.5,"IBT 79, ITP 533, IELTS 6.0"
경희대,아시아,말레이시아,,Universiti Kebangsaan Malaysia (UKM),,2,10월 ~ 2월,3,"IBT79, IELTS 6.0 (college of management= IELTS 6.5)"
경희대,유럽,프랑스,,University of Aix-Marseille,,3,1학기~1년,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,북미,미국,,University of Akron,,1,8월 ~ 12월,3,"IBT 72 (My Best Score is not allowed), IELTS 6.0
https://www.uio.no/english/studies/admission/exchange/english-requirements.html"
경희대,유럽,독일,,University of Bremen,,2,10월 ~ 3월,3.5,"IBT 92 (my best score is acceptable), IELTS 6.5 "
경희대,유럽,프랑스,,University of La Rochelle,,2,1학기~1년,3,HSK 3급 이상
경희대,유럽,슬로베니아,,University of Ljubljana,,2,10월 ~ 2월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,북미,미국,,University of Massachusetts Boston,,1,9월 ~ 12월,3.5,"IBT 72, ITP 533, IELTS 6.0"
경희대,북미,미국,,University of North Carolina Wilmington,,1,8월 ~ 12월,3,"TOEFL 80 (MyBest scores acceptable), IELTS 6.0"
경희대,유럽,노르웨이,,University of Oslo,,3,8월 ~ 12월,3,"IBT 92 (my best score is acceptable), IELTS 6.5 "
경희대,북미,캐나다,,University of Ottawa,,2,9월 ~ 12월,3.5,HSK 3급 이상
경희대,아시아,중국,,University of Shanghai For Science and Technology,,2,9월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,핀란드,,University of Turku,,2,8월 ~ 12월,3,"IBT 72, ITP 533, IELTS 6.0"
경희대,유럽,스페인,,University of Vigo,,2,9월 ~ 12월,3,"TOEFL 80 (MyBest scores acceptable), IELTS 6.0"
경희대,유럽,핀란드,,Vaasa University of Applied Sciences,,2,8월 ~ 12월,3.5,"IBT 72, ITP 533, IELTS 6.0
Upper B2 minimum (C1 preferred)"
숭실대,북미,미국,,Black Hills State University,블랙힐스주립대,-,-,3.5,A-2
숭실대,북미,미국,,"Colorado State University, Pueblo","콜로라도주립대, 푸에블로",-,-,3,A-2
숭실대,북미,미국,,Kennesaw State University,케네쏘주립대 ,-,-,3,A-2
숭실대,북미,미국,,Northwest University,노쓰웨스트대,-,-,3,A-2
